seed,mAP50,mAP50_95,precision,recall,training_time_sec,gpu_memory_gb,model_size_mb,early_stopping,experiment
0,0.73225,0.3976,0.7016,0.69691,2120.014829158783,0.47741270065307617,5.943331718444824,True,freeze_10_v1_480px_AdamW_cos_lr_freeze_10
1,0.73211,0.4023,0.71618,0.67072,1813.1991121768951,0.47549915313720703,5.941988945007324,True,freeze_10_v1_480px_AdamW_cos_lr_freeze_10
2,0.72188,0.40001,0.68869,0.67855,2603.1770882606506,0.4766058921813965,5.944918632507324,True,freeze_10_v1_480px_AdamW_cos_lr_freeze_10
0,0.7051,0.37871,0.67308,0.63386,1214.714988231659,0.31929445266723633,5.925936698913574,True,freeze_10_v1_320px_AdamW_cos_lr_freeze_
1,0.70296,0.37851,0.70821,0.59586,1212.8963344097137,0.31825876235961914,5.925936698913574,True,freeze_10_v1_320px_AdamW_cos_lr_freeze_
2,0.71442,0.38332,0.72698,0.6157,1051.951375246048,0.31825876235961914,5.924960136413574,True,freeze_10_v1_320px_AdamW_cos_lr_freeze_
0,0.7586,0.43185,0.68497,0.73356,3118.048401117325,0.5589146614074707,5.944796562194824,True,freeze_5_v1_480px_Adam_cos_lr_freeze_
1,0.76834,0.43879,0.70546,0.72633,2815.9487855434418,0.5566906929016113,5.944918632507324,True,freeze_5_v1_480px_Adam_cos_lr_freeze_
2,0.75257,0.41975,0.71231,0.70053,1940.4254047870636,0.5566906929016113,5.941866874694824,True,freeze_5_v1_480px_Adam_cos_lr_freeze_
0,0.73212,0.41175,0.72513,0.6655,1226.8909566402435,0.36310243606567383,5.925448417663574,True,freeze_5_v1_320px_Adam_cos_lr_freeze_
1,0.74201,0.40162,0.67624,0.68825,1230.7764370441437,0.3627815246582031,5.925448417663574,True,freeze_5_v1_320px_Adam_cos_lr_freeze_
2,0.76369,0.4295,0.69079,0.7247,1864.3293364048004,0.3627815246582031,5.928744316101074,True,freeze_5_v1_320px_Adam_cos_lr_freeze_
0,0.6964,0.37616,0.69552,0.63754,2693.749804019928,0.598177433013916,5.106931686401367,True,YOlo_v_26n_v1_320px_Adam_cos_lr_
1,0.71172,0.40363,0.6646,0.63637,4056.4466738700867,0.5987415313720703,5.109251022338867,True,YOlo_v_26n_v1_320px_Adam_cos_lr_
2,0.70921,0.40325,0.66713,0.67632,3603.1489865779877,0.5987415313720703,5.109006881713867,True,YOlo_v_26n_v1_320px_Adam_cos_lr_
0,0.76669,0.44232,0.73018,0.70688,5314.044267654419,0.5544872283935547,5.188006401062012,True,YOlo_v_11n_v1_320px_Adam_cos_lr_
0,0.77242,0.44614,0.72502,0.72221,5101.837834596634,0.9508700370788574,5.204180717468262,True,YOLOv11n_v1_480px_AdamW_cos_lr_
1,0.7593,0.43118,0.72293,0.6969,3858.7666964530945,0.9482007026672363,5.201251029968262,True,YOLOv11n_v1_480px_AdamW_cos_lr_
2,0.74558,0.42676,0.74332,0.67745,3602.418361902237,0.9482007026672363,5.201128959655762,True,YOLOv11n_v1_480px_AdamW_cos_lr_
0,0.73704,0.41737,0.70443,0.68249,5320.884736776352,1.0590262413024902,5.124326705932617,True,YOLOv26n_v1_480px_AdamW_cos_lr_
1,0.72399,0.41154,0.6859,0.68842,6347.420294523239,1.0527687072753906,5.125913619995117,True,YOLOv26n_v1_480px_AdamW_cos_lr_
2,0.72419,0.40857,0.70798,0.66766,6409.420740604401,1.0527687072753906,5.125913619995117,True,YOLOv26n_v1_480px_AdamW_cos_lr_
0,0.71641,0.3846,0.7261,0.63961,3608.164808511734,0.7812018394470215,5.376925468444824,True,P3_SPD_YOLO__480px_AdamW_cos_lr_
1,0.72713,0.39232,0.70951,0.62454,3578.5564708709717,0.7791247367858887,5.376925468444824,False,P3_SPD_YOLO__480px_AdamW_cos_lr_
2,0.7225,0.39562,0.63281,0.67657,4016.1873705387115,0.7791247367858887,5.376925468444824,False,P3_SPD_YOLO__480px_AdamW_cos_lr_
3,0.74777,0.40552,0.69819,0.68506,5596.812442064285,0.7812018394470215,5.383212089538574,True,P3_SPD_YOLO__480px_AdamW_cos_lr_150epochs
0,0.71611,0.38223,0.64833,0.67263,3622.548861026764,0.4572625160217285,5.365694999694824,True,P3_SPD_YOLO__320px_AdamW_cos_lr_120epochs
1,0.73086,0.39028,0.67096,0.70544,3247.846175432205,0.45731019973754883,5.365328788757324,True,P3_SPD_YOLO__320px_AdamW_cos_lr_120epochs
2,0.72334,0.383,0.69716,0.64487,3310.885274887085,0.45731019973754883,5.365694999694824,True,P3_SPD_YOLO__320px_AdamW_cos_lr_120epochs
0,0.70987,0.38135,0.67711,0.64781,4505.727083444595,0.42807626724243164,3.984652519226074,True,P3+P4_SPD_YOLO__320px_AdamW_cos_lr_120epochs
1,0.70774,0.37878,0.73854,0.63063,3200.8017024993896,0.42769479751586914,3.984652519226074,True,P3+P4_SPD_YOLO__320px_AdamW_cos_lr_120epochs
2,0.71508,0.38127,0.6571,0.67484,3241.1386411190033,0.42769479751586914,3.984652519226074,True,P3+P4_SPD_YOLO__320px_AdamW_cos_lr_120epochs
0,0.71838,0.39179,0.67366,0.69078,4966.8458776474,0.48502206802368164,5.962862968444824,True,P3_V2_SPD_YOLO__320px_AdamW_cos_lr_100epochs
1,0.72279,0.39034,0.66506,0.69534,4523.119279623032,0.4833526611328125,5.962862968444824,True,P3_V2_SPD_YOLO__320px_AdamW_cos_lr_100epochs
